TransactionID,SellerID,BuyerID,Amount of Energy Traded,Price per KWh,Date of Transaction,Time of Transaction
1001,2001,3001,50.50,4.20,12:05:2020,14:30
1002,2002,3002,30.00,4.50,23:07:2021,09:15
1003,2001,3001,75.00,4.10,05:03:2022,16:45
1004,2003,3003,45.00,3.80,18:09:2023,11:20
1005,2004,3004,60.00,4.00,29:11:2024,10:10
1006,2002,3002,90.50,4.60,07:02:2025,08:00
1007,2005,3005,20.00,3.50,15:06:2020,17:50
1008,2006,3006,110.00,4.90,22:08:2021,13:40
1009,2001,3001,95.00,4.30,09:12:2022,19:00
1010,2003,3007,40.00,3.70,30:04:2023,07:25
1011,2004,3008,55.50,4.10,03:10:2024,12:10
1012,2005,3009,85.00,4.80,11:03:2025,21:15
1013,2007,3010,100.00,4.70,14:07:2020,05:30
1014,2008,3011,65.00,4.20,20:09:2021,14:55
1015,2002,3002,78.00,4.60,06:11:2022,20:05
1016,2009,3012,35.50,3.90,19:01:2023,06:40
1017,2010,3013,88.00,4.50,27:05:2024,15:20
1018,2005,3014,47.00,3.80,02:08:2025,18:30
1019,2011,3015,73.50,4.30,13:02:2020,22:10
1020,2006,3006,99.00,4.70,05:06:2021,16:00
1021,2012,3016,57.00,4.00,17:10:2022,09:50
1022,2013,3017,120.00,5.00,25:12:2023,11:45
1023,2001,3001,82.00,4.40,10:04:2024,14:25
1024,2014,3018,33.00,3.60,08:07:2025,19:35
1025,2015,3019,90.00,4.20,16:01:2020,10:15
1026,2003,3003,58.00,3.90,21:03:2021,12:05
1027,2016,3020,67.50,4.30,29:05:2022,17:45
1028,2017,3021,105.00,4.60,12:09:2023,07:50
1029,2001,3001,50.00,4.10,01:12:2024,22:05
1030,2018,3022,45.50,3.70,14:02:2025,08:20
1031,2009,3012,36.00,3.80,23:06:2020,14:10
1032,2019,3023,98.00,4.70,07:08:2021,09:55
1033,2020,3024,130.00,5.10,30:10:2022,19:40
1034,2002,3002,65.50,4.40,09:01:2023,11:25
1035,2021,3025,40.00,3.60,18:05:2024,16:30
1036,2007,3010,110.50,4.80,04:08:2025,20:50
1037,2022,3026,75.00,4.20,25:02:2020,23:15
1038,2003,3003,120.50,5.00,11:06:2021,13:35
1039,2023,3027,88.50,4.50,28:09:2022,07:45
1040,2024,3028,53.00,3.90,06:11:2023,12:25
1041,2005,3014,79.00,4.30,14:02:2024,17:10
1042,2025,3029,95.50,4.70,22:07:2025,21:20
1043,2008,3011,68.50,4.10,03:04:2020,15:40
1044,2026,3030,101.00,4.60,19:08:2021,10:00
1045,2001,3001,99.50,4.40,27:12:2022,18:15
1046,2018,3021,200.00,3.70,19:06:2021,18:45
1047,2010,3024,455.00,4.50,18:05:2024,06:55
1048,2009,3011,200.00,3.90,12:02:2025,04:15
1049,2009,3030,105.00,3.90,05:05:2023,14:45
1050,2004,3004,45.00,3.50,15:06:2023,23:55
1051,2002,3002,135.00,3.50,19:08:2021,15:14
1052,2026,3005,360.00,5.30,15:02:2025,14:08
1053,2015,3040,45.00,4.20,16:05:2021,13:36
1054,2025,3012,500.00,5.10,15:06:2023,16:06
1055,2021,3010,200.00,3.60,04:02:2022,14:30
